Datums,Turnīrs,Vieta,Pretinieks,Rezultāts,Latvijas vārtu guvēji
2021. gada 24. martā,2022. gada FIFA Pasaules kausa kvalifikācija,Latvija Rīga,Melnkalne,1:2,Jānis Ikaunieks
2021. gada 27. martā,2022. gada FIFA Pasaules kausa kvalifikācija,Nīderlande Amsterdama,Nīderlande,0:2, 
2021. gada 30. martā,2022. gada FIFA Pasaules kausa kvalifikācija,Turcija Stambula,Turcija,3:3,"Roberts Savaļnieks, Roberts Uldriķis, Dāvis Ikaunieks"
2021. gada 4. jūnijā,Baltijas kauss,Latvija Rīga,Lietuva,3:1,"pretinieki savos vārtos, Eduards Emsis, Roberts Uldriķis"
2021. gada 7. jūnijā,draudzības spēle,Vācija Diseldorfa,Vācija,1:7,Aleksejs Saveļjevs
2021. gada 10. jūnijā,Baltijas kauss,Igaunija Tallina,Igaunija,1:2,Dāvis Ikaunieks
2021. gada 1. septembrī,2022. gada FIFA Pasaules kausa kvalifikācija,Latvija Rīga,Gibraltārs,3:1,"Vladislavs Gutkovskis (2), Andrejs Cigaņiks"
2021. gada 4. septembrī,2022. gada FIFA Pasaules kausa kvalifikācija,Latvija Rīga,Norvēģija,0:2, 
2021. gada 7. septembrī,2022. gada FIFA Pasaules kausa kvalifikācija,Melnkalne Podgorica,Melnkalne,0:0, 
2021. gada 8. oktobrī,2022. gada FIFA Pasaules kausa kvalifikācija,Latvija Rīga,Nīderlande,0:1, 
2021. gada 11. oktobrī,2022. gada FIFA Pasaules kausa kvalifikācija,Latvija Rīga,Turcija,1:2,pretinieki savos vārtos
2021. gada 13. novembrī,2022. gada FIFA Pasaules kausa kvalifikācija,Norvēģija Oslo,Norvēģija,0:0, 
2021. gada 16. novembrī,2022. gada FIFA Pasaules kausa kvalifikācija,Gibraltārs Gibraltārs,Gibraltārs,3:1,"Vladislavs Gutkovskis, Roberts Uldriķis, Raimonds Krollis"
2022. gada 25. martā,draudzības spēle,Malta Takali,Kuveita,1:1,Roberts Savaļnieks
2022. gada 29. martā,draudzības spēle,Malta Takali,Azerbaidžāna,1:0,Vladislavs Gutkovskis
